S,emit_x,beta_x,alpha_x,gamma_x,emit_y,beta_y,alpha_y,gamma_y
0.0,0.00011453176387859459,7.782486340273874,0.05624058978551617,0.12890006613286523,0.00011107201092530767,3.9427122392498934,-0.03170669252388006,0.253887490034334
0.3,0.00011463613029776069,7.74939849554882,-0.0318668238763314,0.12917331519845557,0.00011107284988117139,3.982565458898008,-0.13323688032567366,0.2555518739823887
0.5,0.00011457401123431975,7.79521745920573,-0.10731584991585165,0.12976118972134829,0.00011111297618137104,4.056887793729627,-0.21015210985658014,0.25738052476852924
0.7,0.00011457401100593967,7.843335702643643,-0.13326880425540694,0.12976118998000094,0.00011111297376942423,4.151247985763902,-0.2616302891739293,0.2573805303555288
0.9,0.00011457401077717283,7.901835414372539,-0.1592217586964366,0.1297611902390916,0.00011111297135955944,4.2662002798257515,-0.31310847072403275,0.2573805359377058
1.1,0.00011457401054993972,7.970716594597373,-0.18517471324326906,0.12976119049644524,0.00011111296894826654,4.401744677133352,-0.3645866545108398,0.2573805415231912
1.3,0.00011468412727907667,8.038226708989534,-0.26122659218203603,0.13289489972562937,0.0001111234625236653,4.555170806652909,-0.4444372301754629,0.2628934242854365
1.5,0.00011461627058602763,8.177256851118814,-0.3392473904167925,0.13636465286669291,0.00011115395345400512,4.756212986356148,-0.5268882514509452,0.26861943171637565
1.7,0.00011461627595368316,8.318411473064653,-0.3665204493667802,0.13636464648052762,0.00011115396190441098,4.977714958995941,-0.5806124885658441,0.2686194112947624
1.9,0.00011461628132204869,8.47047536952108,-0.3937935057688902,0.1363646400935182,0.00011115397035425475,5.220706765105452,-0.6343367175066121,0.26861939087451064
2.1,0.00011461628668963465,8.633448538731228,-0.42106655960321804,0.13636463370743687,0.00011115397880392066,5.485188399799956,-0.6880609382748324,0.2686193704546918
2.3,0.00011461629205714594,8.807330979289059,-0.44833961088372487,0.136364627321445,0.00011115398725512478,5.771159858294226,-0.7417851508765253,0.2686193500311588
2.6,0.00011476050148076221,9.072648437548164,-0.5443511527343525,0.14288200258242803,0.00011120166550268673,6.234615132128208,-0.8601531510269843,0.27906509164547927
2.8,0.00011465856066151245,9.331708681635476,-0.6311151046560561,0.1498446129246244,0.000111194997107064,6.609377524605094,-0.9571849136690079,0.28992184995061815
3.0,0.00011465857364743224,9.590143707720893,-0.6610833601148006,0.14984459595362903,0.0001111950229222658,7.003836138676876,-1.0151673057467794,0.2899217826419305
3.2,0.00011465858663244999,9.860565767704736,-0.6910516087847186,0.14984457898381634,0.00011119504873413777,7.421486913095659,-1.0731496709371775,0.2899217153419561
3.4,0.00011465859961790756,10.142974857694952,-0.721019850673031,0.1498445620134327,0.00011119507454938916,7.86232983157034,-1.131132009161388,0.2899216480332017
3.6,0.00011485250346747242,10.414538406440641,-0.8125238257483485,0.15941128666653354,0.00011130248449321219,8.314170392801508,-1.2379182863101534,0.3045934307256537
3.8,0.00011470088287779958,10.791218766360375,-0.9112202009132792,0.16961219063208385,0.00011123611546200274,8.852023410117196,-1.3538826226656024,0.3200396140749003
4.0,0.00011470090145665028,11.162479300056274,-0.9451413969872069,0.16961216315889469,0.00011123615516319324,9.406349372942952,-1.417886930869228,0.3200394998498655
4.2,0.0001147009200324912,11.547307812865293,-0.9790625820711415,0.16961213569016503,0.00011123619486579791,9.986275604436164,-1.4818911934025953,0.3200393856208436
4.4,0.00011470093860930995,11.945704298662921,-1.0129837561722868,0.16961210821999834,0.00011123623457076291,10.591802076732533,-1.5458954102049722,0.3200392713851123
4.6,0.0001147009571846091,12.357668750539878,-1.0469049192854716,0.16961208075208764,0.00011123627427448915,11.222928762480672,-1.6098995813195225,0.3200391571530266
4.9,0.0001150099493248283,12.959642833664782,-1.1716121451801673,0.18308182171272994,0.0001114976272439872,12.18288973873477,-1.7738683398588098,0.34036332726295254
5.1,0.00011474325189177191,13.505148357118202,-1.2919923858303786,0.19764642745570335,0.00011127733781854915,12.968099792356542,-1.9237583818849346,0.36249307046844614
5.3,0.00011474326288894797,14.02984017261699,-1.33152075542537,0.19764640851295667,0.00011127736234294387,13.752077135158006,-1.996254384439024,0.3624929905786738
5.5,0.00011474327388997386,14.57034296819082,-1.3710491174155812,0.19764638956358227,0.00011127738686690894,14.565051828514825,-2.0687503550873276,0.3624929106903363
5.7,0.00011474328488764896,15.126656739275465,-1.4105774718646635,0.19764637061998327,0.0001112774113895662,15.407023852013086,-2.141246293730901,0.3624928308062943
5.9,0.00011519379187491374,15.62956461232611,-1.5354386043143793,0.21482183227106477,0.00011175074271110744,16.20094113080746,-2.2984732136355874,0.3878156869450434
6.1,0.0001147855359692287,16.355866310129016,-1.6805320290081653,0.23381139390666345,0.00011131838994864327,17.25034920683326,-2.4875175215410543,0.41667234290692035
6.3,0.00011478552756744892,17.037434432972248,-1.7272945854555728,0.23381141102059655,0.0001113183716313639,18.26203106416711,-2.570852878295875,0.4166724114697604
6.5,0.00011478551917178906,17.737707691558864,-1.7740571487342611,0.23381142812206626,0.00011131835331281751,19.30704742521076,-2.6541882625129665,0.41667248003736557
6.7,0.00011478551077095883,18.45668608869234,-1.8208197188707933,0.23381144523407021,0.0001113183349942042,20.385398305402628,-2.7375236740976563,0.4166725486052438
6.9,0.00011478550237035326,19.194369628570314,-1.8675822958194808,0.23381146234561903,0.00011131831667749555,21.497083723327716,-2.820859113184476,0.41667261716601534
7.2,0.00011553887860514893,20.193256590561923,-2.040723122759525,0.255756214486931,0.00011228258308917739,23.016117816821126,-3.0521298985625194,0.44818578875018905
7.4,0.00011482771228638928,21.20846362503527,-2.2280090252552776,0.28120963036562496,0.00011135919754932776,24.52340791814693,-3.3107269311981278,0.4877345291030978
7.6,0.0001148276822690352,22.11094138561286,-2.2842528930692705,0.2812097038772458,0.00011135912963886758,25.8672717094929,-3.4082795190951822,0.4877348265396566
7.8,0.00011482765224787716,23.035917475706565,-2.3404967903219247,0.28120977739822095,0.00011135906172721019,27.250158834165624,-3.5058322260921315,0.48773512398182184
8.0,0.00011482762222865817,23.98339191343882,-2.396740716974161,0.2812098509144858,0.00011135899382138608,28.672069362212376,-3.6033850519690933,0.487735421398801
8.2,0.00011594169140582076,24.701221528269944,-2.568584601003112,0.3075810175547399,0.00011294879767512088,29.69398815499881,-3.815914094625028,0.5240522187969658
8.4,0.00011486979674996508,26.052081674597545,-2.80364070908593,0.34010338737281476,0.00011139980106451722,31.76194679291231,-4.157376015613939,0.5756503357433386
8.6,0.00011486975622511015,27.187186403542263,-2.8716645784342045,0.34010350735775147,0.00011139970726500174,33.448031375498545,-4.272515266632254,0.5756508204458921
8.8,0.0001148697157003835,28.349501968603747,-2.9396884958907545,0.3401036273423931,0.00011139961347023981,35.18017536945746,-4.387654711339984,0.5756513051246983
9.0,0.00011486967517576704,29.539028393751703,-3.0077124611750197,0.3401037473267931,0.00011139951968171699,36.95837889211462,-4.502794349769979,0.5756517897720802
9.2,0.00011481217109984279,30.755765712997295,-3.0757364746205273,0.3401038673178174,0.00011134369831911324,38.78264205782942,-4.617934181870168,0.575652274406557
