MOMENTUM	3.68781
NAME	L	K1	Gamma	dB/dx
Q1L	.04	4.0654682628528915	7.285817219852516	1.2493921639033436
Q2L	.04	-3.4964834083706653	7.285817219852516	-1.074532794057735
Q3L	.1	1.7821230561294619	40.8393122674977	1.23932588121041
Q4L	.1	-1.8104708128710665	40.8393122674977	-1.2590395078779364
Q5L	.1	2.725482450680713	78.00162114811437	3.620853648122593
Q6L	.1	-2.6047909024649667	78.00162114811437	-3.460512702780823
QA.1	.15	1.623918996117944	78.00162114811437	1.4382708695312914
QA.2	.15	1.623918996117944	78.00162114811437	1.4382708695312914
Q7L	.1	-1.5846441529107183	78.00162114811437	-2.1052289515237397
Q8L	.1	2.0233049317160052	78.00162114811437	2.6879978777476903
Q9L	.1	-1.548125872448653	78.00162114811437	-2.056713743142483
Q10L	.1	1.359374847137207	78.00162114811437	1.8059545285986012
