NAME,X,PX,Y,PY,T,PT,S,E,PHASE,SHIFT,KICK5
rf1,0.0,0.0,0.0,0.0,0.0,0.0017997666,0.3,0.0,0.0,0.0,0.0
rf2,0.0,0.0,0.0,0.0,0.01107975631,0.003293235418,0.7,0.0,12.103689429713942,1.9425171518277486,0.01107975631
rf3,0.0,0.0,0.0,0.0,0.04125203285,0.003998406692,1.4,0.0,50.397920466861116,7.232359549872332,0.04125203285
rf4,0.0,0.0,0.0,0.0,0.05523366149,0.004351302044,1.8,0.0,76.27601380674626,9.68363669747289,0.05523366149
rf5,0.0,0.0,0.0,0.0,0.07597480378,0.004194650335,2.5,0.0,123.08444070161633,13.320000487393182,0.07597480378
rf6,0.0,0.0,0.0,0.0,0.0972722805,0.003531013445,2.9,0.0,145.9705791403705,17.053901546382463,0.0972722805
rf7,0.0,0.0,0.0,0.0,0.1576385432,0.001432326639,3.6,0.0,175.0368601883827,27.63739250102149,0.1576385432
rf8,0.0,0.0,0.0,0.0,0.1966141822,-0.001547935371,4.0,0.0,181.1975388105327,34.47065174812369,0.1966141822
