 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.35833E+00      -0.91800E-01      -0.33618E+01      -0.53930E+01      -0.55639E+01      -0.97848E+01
      0      1      -0.10922E+00       0.15115E-01       0.59147E+01       0.12830E+02       0.73430E+01       0.16167E+02
      0      1       0.13902E+00      -0.16550E-01       0.39221E+01       0.67458E+01      -0.16264E+01      -0.30103E+01
      0      1       0.11141E-01      -0.23175E-01       0.31089E+01       0.48076E+01      -0.94389E+01      -0.18599E+02
      0      1       0.43588E-01      -0.19317E-01       0.11555E+01       0.10886E+01      -0.71592E+00      -0.13760E+01
      0      1      -0.48930E-01       0.51170E-02      -0.93110E+01      -0.18797E+02      -0.17376E+01      -0.20365E+01
      0      1      -0.77706E-01      -0.49762E-02      -0.91049E+01      -0.18568E+02       0.46057E+01       0.97712E+01
      0      1      -0.16678E+00       0.30680E-01      -0.56539E+01      -0.12157E+02      -0.87282E+01      -0.18496E+02
      0      1       0.95693E-01      -0.12445E-01       0.81174E+01       0.15103E+02       0.80139E+01       0.15474E+02
      0      1       0.15066E+00      -0.36445E-02       0.44997E+01       0.85601E+01      -0.79078E+01      -0.15009E+02
      0      1       0.34992E-01      -0.70415E-02       0.38901E+01       0.68109E+01       0.29788E+01       0.70164E+01
      0      1       0.23402E+00      -0.34508E-01      -0.64187E+01      -0.12112E+02       0.63447E+01       0.11122E+02
      0      1       0.25022E-01       0.16987E-02       0.53209E+01       0.10874E+02       0.96221E+01       0.20051E+02
      0      1       0.48256E-01      -0.25575E-01      -0.71012E+01      -0.12834E+02      -0.83985E+01      -0.16082E+02
      0      1      -0.26404E-02       0.45401E-02       0.10658E+01       0.11669E+01       0.96255E+00       0.33517E+01
      0      1      -0.15924E+00       0.46177E-01       0.26215E+01       0.49429E+01      -0.41419E+01      -0.68484E+01
      0      1       0.93070E-01      -0.24271E-01      -0.74605E+01      -0.15390E+02      -0.93591E+01      -0.19116E+02
      0      1      -0.33762E-01       0.12268E-01      -0.25482E+01      -0.37340E+01       0.67228E+01       0.14441E+02
      0      1      -0.10333E+00       0.69023E-01       0.72973E+00       0.21328E+01      -0.12610E+01      -0.16564E+01
      0      1       0.30250E+00      -0.69651E-01       0.67922E+01       0.11938E+02      -0.37317E+01      -0.55903E+01
      0      1      -0.17210E+00       0.78859E-01       0.74191E+01       0.15478E+02      -0.88033E+01      -0.17554E+02
      0      1      -0.43828E-01       0.53523E-01       0.13509E+01       0.25724E+01       0.18063E+01       0.38972E+01
      0      1       0.20517E+00      -0.44302E-01      -0.70564E+01      -0.13264E+02      -0.82694E+01      -0.16618E+02
      0      1      -0.22379E+00       0.57667E-01       0.14615E+01       0.26041E+01      -0.48641E+01      -0.10985E+02
      0      1      -0.11726E+00       0.10593E-01       0.48527E+01       0.10240E+02      -0.65243E+01      -0.12639E+02
      0      1       0.11532E+00      -0.19368E-01      -0.63490E+01      -0.11814E+02       0.99040E+01       0.19382E+02
