n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  16  drift      1.48000       21.04932       -0.05384        3.04939        2.24206        8.34680        6.29363        5.13506       14.93529        0.00552           7.61845            12.81805            15.83453             7.47132            12.42948            14.75309            11.52107            34.75829            54.26743         -0.00043       -0.00649       -0.00005       -0.00076        0.21385        0.20428       -1.92268        1.04405       -1.30295        0.57552       -3.81817          36.68385              0.0         10001.0
  17  drift      1.56000       21.04932       -0.05384        3.09440        2.28288        8.46627        6.41187        4.96134       14.60632        0.00552           7.61845            12.81805            15.83453             7.47132            12.42948            14.75309            11.52229            34.76414            54.27657         -0.00048       -0.00649       -0.00006       -0.00076        0.21385        0.22522       -1.95867        1.07510       -1.34045        0.59667       -3.67955          34.24009              0.0         10001.0
  18  drift      1.64000       21.04932       -0.05384        3.13959        2.32411        8.58575        6.53012        4.78806       14.27734        0.00552           7.61845            12.81805            15.83453             7.47132            12.42948            14.75309            11.52354            34.76994            54.28562         -0.00053       -0.00649       -0.00006       -0.00076        0.21385        0.24616       -1.99466        1.10673       -1.37795        0.61841       -3.54095          31.88674              0.0         10001.0
  19  drift      1.72000       21.04932       -0.05384        3.18494        2.36573        8.70522        6.64837        4.61529       13.94837        0.00552           7.61845            12.81805            15.83453             7.47132            12.42948            14.75309            11.52482            34.77569            54.29459         -0.00059       -0.00649       -0.00007       -0.00076        0.21385        0.26710       -2.03064        1.13893       -1.41545        0.64076       -3.40237          29.62380              0.0         10001.0
  20  drift      1.80000       21.04932       -0.05384        3.23044        2.40772        8.82470        6.76662        4.44308       13.61939        0.00552           7.61845            12.81805            15.83453             7.47132            12.42948            14.75309            11.52613            34.78138            54.30348         -0.00064       -0.00649       -0.00008       -0.00076        0.21385        0.28803       -2.06663        1.17171       -1.45295        0.66371       -3.26382          27.45125              0.0         10001.0
  21  rfgap      1.80000       21.40246       -0.05488        3.23044        2.40772        8.82470        6.76662        4.40687       13.48930        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.03529            38.21127            63.10696         -0.00064       -0.00876       -0.00008       -0.00099        0.21565        0.28323       -2.72710        1.16964       -1.83766        0.66761       -3.86403          26.29725              0.0         10001.0
  22  drift      1.88000       21.40246       -0.05488        3.29077        2.46091        8.98329        6.91590        4.19813       13.07422        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.03809            38.16231            63.13037         -0.00071       -0.00876       -0.00008       -0.00099        0.21565        0.30601       -2.78481        1.21373       -1.89011        0.69744       -3.66750          23.85951              0.0         10001.0
  23  drift      1.96000       21.40246       -0.05488        3.35125        2.51442        9.14188        7.06518        3.99018       12.65914        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.04100            38.23942            63.15346         -0.00078       -0.00876       -0.00009       -0.00099        0.21565        0.32879       -2.84252        1.25875       -1.94256        0.72810       -3.47104          21.54910              0.0         10001.0
  24  drift      2.04000       21.40246       -0.05488        3.41185        2.56824        9.30047        7.21447        3.78313       12.24406        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.04400            38.25322            63.17625         -0.00085       -0.00876       -0.00010       -0.00099        0.21565        0.35158       -2.90023        1.30469       -1.99501        0.75960       -3.27464          19.36598              0.0         10001.0
  25  drift      2.12000       21.40246       -0.05488        3.47259        2.62234        9.45906        7.36375        3.57716       11.82898        0.00669           7.69644            13.32241            16.09959             7.49039            12.52040            14.79079            12.04710            38.26683            63.19872         -0.00092       -0.00876       -0.00011       -0.00099        0.21565        0.37436       -2.95793        1.35156       -2.04746        0.79194       -3.07832          17.31012              0.0         10001.0
