,EY,EY2,VY
0,9.044240212820286e-09,8.180645344546697e-17,8.172418271441822e-21
1,7.019529570349953e-09,4.927751899526958e-17,3.7236062521833016e-21
2,5.628723153253071e-09,3.1684416135776994e-17,1.8917998097951227e-21
3,4.644731508635334e-09,2.1574592096091782e-17,1.0613087819179507e-21
4,3.9116638122207516e-09,1.5301759263095037e-17,6.454832576552151e-22
