Diameter,FWHM,dist,shift[mm],yield[Bq/Bq/uA/s]
7.0,5.0,4.0,2.0,1.0860221648090169e-08
7.0,5.0,4.0,4.0,7.382092584323025e-09
7.0,5.0,4.0,6.0,4.019254596697515e-09
7.0,5.0,8.0,0.0,9.346411220043925e-09
7.0,5.0,8.0,2.0,8.339886845862592e-09
7.0,5.0,8.0,4.0,5.983835146618392e-09
7.0,5.0,8.0,6.0,3.598648964021485e-09
7.0,5.0,12.0,0.0,7.35310553865959e-09
7.0,5.0,12.0,2.0,6.636270994101988e-09
7.0,5.0,12.0,4.0,4.950699569315168e-09
7.0,5.0,12.0,6.0,3.1785790182290433e-09
7.0,5.0,16.0,0.0,5.964836135257088e-09
7.0,5.0,16.0,2.0,5.440590571421463e-09
7.0,5.0,16.0,4.0,4.171348604372184e-09
7.0,5.0,16.0,6.0,2.8072643752478546e-09
7.0,5.0,20.0,0.0,4.957093736216701e-09
7.0,5.0,20.0,2.0,4.549067698981514e-09
7.0,5.0,20.0,4.0,3.5664073003184756e-09
7.0,5.0,20.0,6.0,2.4888712216705892e-09
3.0,6.0,4.0,0.0,9.179523540973079e-09
3.0,6.0,4.0,2.0,8.080136539948278e-09
3.0,6.0,4.0,4.0,5.649872687613231e-09
3.0,6.0,4.0,6.0,3.3407141824046307e-09
3.0,6.0,8.0,0.0,7.118341073085711e-09
3.0,6.0,8.0,2.0,6.366964250700566e-09
3.0,6.0,8.0,4.0,4.652185310736791e-09
3.0,6.0,8.0,6.0,2.95553855108404e-09
3.0,6.0,12.0,0.0,5.710231689620238e-09
3.0,6.0,12.0,2.0,5.157714485826935e-09
3.0,6.0,12.0,4.0,3.8932623501535386e-09
3.0,6.0,12.0,6.0,2.6158311360807295e-09
3.0,6.0,16.0,0.0,4.706086358596658e-09
3.0,6.0,16.0,2.0,4.292441263654848e-09
3.0,6.0,16.0,4.0,3.3255590154159388e-09
3.0,6.0,16.0,6.0,2.31372933400055e-09
3.0,6.0,20.0,0.0,3.957620235127852e-09
3.0,6.0,20.0,2.0,3.6408259904115842e-09
3.0,6.0,20.0,4.0,2.869585216894697e-09
3.0,6.0,20.0,6.0,2.0507436887020275e-09
5.0,6.0,4.0,0.0,1.1245153313642387e-08
5.0,6.0,4.0,2.0,9.893848148818122e-09
5.0,6.0,4.0,4.0,6.824298126424231e-09
5.0,6.0,4.0,6.0,3.873684768041778e-09
5.0,6.0,8.0,0.0,8.556087315604172e-09
5.0,6.0,8.0,2.0,7.65444732428583e-09
