n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  97  quad      14.78950       32.94615       -0.01308        2.11978        1.67337        5.82212        4.48830        4.98727       15.13955        0.00289           7.50428            12.44809            15.35853             7.47983            12.63874            16.23473            12.81200            56.62047           221.60655          0.00009       -0.00234        0.00001        0.00412        0.26833        0.29924        6.54310        0.64268       -2.60304        0.40181       -2.64017          48.68271              0.0         10001.0
  98  drift     14.94350       32.94615       -0.01308        1.78814        1.84144        4.92313        4.99923        4.85432       15.10965        0.00289           7.50428            12.44809            15.35853             7.47983            12.63874            16.23473            12.81120            56.64485           222.57308          0.00006       -0.00234        0.00007        0.00412        0.26833        0.33787        5.49327        0.45732       -2.90106        0.48657       -2.55972          46.12457              0.0         10001.0
  99  rfgap     14.94350       33.36952       -0.01453        1.78814        1.84144        4.92313        4.99923        4.82528       15.04505        0.00389           7.50549            12.44950            15.39827             7.48534            12.65280            16.23194            12.93060            57.88736           190.73264          0.00006       -0.00282        0.00007        0.00392        0.27008        0.33345        5.33000        0.46023       -3.07008        0.48938       -3.54634          45.73445              0.0         10001.0
 100  drift     15.25150       33.36952       -0.01453        1.15652        2.20029        3.18922        6.09762        4.46041       14.58120        0.00389           7.50549            12.44950            15.39827             7.48534            12.65280            16.23194            12.93554            57.75877           192.85064         -0.00003       -0.00282        0.00020        0.00392        0.27008        0.41009        3.36185        0.19252       -3.72621        0.69871       -3.25455          39.06461              0.0         10001.0
 101  rfgap     15.25150       33.79464       -0.01297        1.15652        2.20029        3.18922        6.09762        4.43392       14.51832        0.00480           7.50602            12.45880            15.40977             7.49550            12.68327            16.22939            13.12108            58.19386           167.46433         -0.00003       -0.00313        0.00020        0.00375        0.27182        0.40568        3.29446        0.19375       -3.96243        0.70227       -4.04875          38.54029              0.0         10001.0
 102  drift     15.40550       33.79464       -0.01297        0.85861        2.39197        2.34452        6.67529        4.20794       14.09771        0.00480           7.50602            12.45880            15.40977             7.49550            12.68327            16.22939            13.13106            58.21380           168.49145         -0.00008       -0.00313        0.00025        0.00375        0.27182        0.44303        2.35229        0.10679       -4.32866        0.82995       -3.82634          34.68548              0.0         10001.0
 103  quad      15.70450       33.79464       -0.01297        0.55605        2.09653        1.57629        5.92027        3.76972       13.28363        0.00480           7.50641            12.44564            15.41256             7.48342            12.64758            16.22524            13.13263            58.34879           168.39479         -0.00021       -0.00601        0.00030       -0.00096        0.27182        0.45647        0.09295        0.04479        9.53525        0.63862       -3.39850          27.83393              0.0         10001.0
 104  drift     15.85850       33.79464       -0.01297        0.57123        1.61525        1.54575        4.60131        3.55117       12.86286        0.00480           7.50641            12.44564            15.41256             7.48342            12.64758            16.22524            13.21894            57.74258           169.58172         -0.00030       -0.00601        0.00028       -0.00096        0.27182        0.52260       -0.25388        0.04726        7.31862        0.37907       -3.16100          24.53893              0.0         10001.0
 105  rfgap     15.85850       34.22223       -0.00632        0.57123        1.61525        1.54575        4.60131        3.53011       12.80504        0.00550           7.50593            12.44331            15.40967             7.48578            12.62817            16.22116            13.34121            59.49627           155.14020         -0.00030       -0.00626        0.00028       -0.00095        0.27356        0.51831       -0.27008        0.04757        7.18690        0.38137       -3.65379          24.32884              0.0         10001.0
 106  drift     16.16650       34.22223       -0.00632        0.76629        0.69016        2.11818        2.02782        3.03334       11.64675        0.00550           7.50593            12.44331            15.40967             7.48578            12.62817            16.22116            13.65598            56.33051           156.25661         -0.00049       -0.00626        0.00025       -0.00095        0.27356        0.63905       -0.96479        0.08560        2.93470        0.06963       -3.01874          17.54935              0.0         10001.0
 107  rfgap     16.16650       34.65181        0.00394        0.76629        0.69016        2.11818        2.02782        3.01544       11.59308        0.00607           7.50493            12.45471            15.40471             7.48563            12.62761            16.22044            13.73653            58.31199           147.06681         -0.00049       -0.00654        0.00025       -0.00090        0.27528        0.63446       -0.99361        0.08616        2.91123        0.07007       -3.36957          17.45572              0.0         10001.0
 108  drift     16.32050       34.65181        0.00394        0.91273        0.29119        2.49782        0.81790        2.74500       10.87708        0.00607           7.50493            12.45471            15.40471             7.48563            12.62761            16.22044            13.97737            56.97921           147.04313         -0.00059       -0.00654        0.00024       -0.00090        0.27528        0.68863       -1.34882        0.12223        0.82868        0.01247       -2.98122          14.21585              0.0         10001.0
 109  quad      16.61950       34.65181        0.00394        0.96577        0.80685        2.52108        2.12110        2.21386        9.49308        0.00607           7.50657            12.46211            15.41387             7.48542            12.62618            16.21860            13.98128            57.11965           146.64866         -0.00061        0.00569        0.00028        0.00370        0.27528        0.68677        0.95390        0.13682       -4.11310        0.09577       -2.32978           9.24418              0.0         10001.0
 110  drift     16.77350       34.65181        0.00394        0.86891        1.34678        2.30371        3.58901        1.96511        8.77681        0.00607           7.50657            12.46211            15.41387             7.48542            12.62618            16.21860            14.38943            54.65742           145.94773         -0.00052        0.00569        0.00034        0.00370        0.27528        0.75569        0.73892        0.11075       -6.99440        0.26682       -1.94456           7.07691              0.0         10001.0
 111  rfgap     16.77350       35.08360        0.01837        0.86891        1.34678        2.30371        3.58901        1.95352        8.73373        0.00640           7.50556            12.46214            15.41391             7.48340            12.62819            16.15891            14.40854            55.37568           143.27473         -0.00052        0.00547        0.00034        0.00384        0.27701        0.75096        0.70251        0.11146       -7.08229        0.26856       -2.08839           7.07040              0.0         10001.0
 112  drift     17.08150       35.08360        0.01837        0.74025        2.44557        1.93236        6.53893        1.47693        7.21830        0.00640           7.50556            12.46214            15.41391             7.48340            12.62819            16.15891            15.55637            52.19259           140.49149         -0.00035        0.00547        0.00045        0.00384        0.27701        0.87551        0.28980        0.08090      -12.94942        0.88554       -1.27631           3.74319              0.0         10001.0
 113  rfgap     17.08150       35.51712        0.03559        0.74025        2.44557        1.93236        6.53893        1.46827        7.17289        0.00660           7.50480            12.46397            15.41616             7.47972            12.63248            15.96017            15.56101            52.45763           139.70076         -0.00035        0.00536        0.00045        0.00410        0.27872        0.87028        0.26369        0.08140      -13.23613        0.89145       -1.35213           3.74334              0.0         10001.0
 114  drift     17.23550       35.51712        0.03559        0.71713        3.00506        1.90504        8.03408        1.26560        6.52221        0.00660           7.50480            12.46397            15.41616             7.47972            12.63248            15.96017            16.30503            51.93211           137.93390         -0.00027        0.00536        0.00052        0.00410        0.27872        0.92597        0.06135        0.07640      -16.27993        1.34600       -0.95602           2.65437              0.0         10001.0
 115  quad      17.53450       35.51712        0.03559        0.95776        3.19709        2.52329        8.55178        0.95275        5.24932        0.00660           7.50553            12.46124            15.43187             7.49352            12.74698            16.24854            16.30913            51.83941           137.32295         -0.00017        0.00168        0.00048       -0.00643        0.27872        0.89526       -2.42167        0.13626       11.46492        1.52072       -0.29006           1.50390              0.0         10001.0
 116  drift     17.68850       35.51712        0.03559        1.22470        2.82608        3.29396        7.56507        0.93464        4.60054        0.00660           7.50553            12.46124            15.43187             7.49352            12.74698            16.24854            16.63920            52.14627           137.04670         -0.00014        0.00168        0.00038       -0.00643        0.27872        0.92637       -3.19750        0.22279       10.12369        1.18825        0.04807           1.41853              0.0         10001.0
 117  rfgap     17.68850       35.95179        0.05395        1.22470        2.82608        3.29396        7.56507        0.92919        4.57299        0.00655           7.50491            12.46744            15.43955             7.48897            12.77405            16.05789            16.63684            52.12602           137.35447         -0.00014        0.00170        0.00038       -0.00618        0.28042        0.92098       -3.26817        0.22417        9.75610        1.19625        0.01941           1.41915              0.0         10001.0
 118  drift     17.99650       35.95179        0.05395        1.78257        2.11745        4.87676        5.67330        1.15245        4.68667        0.00655           7.50491            12.46744            15.43955             7.48897            12.77405            16.05789            17.28682            52.19937           136.82665         -0.00009        0.00170        0.00019       -0.00618        0.28042        0.96158       -4.87304        0.47492        7.27971        0.67155        0.65216           2.10095              0.0         10001.0
 119  rfgap     17.99650       36.38724        0.07251        1.78257        2.11745        4.87676        5.67330        1.14577        4.65843        0.00639           7.50381            12.48686            15.44448             7.48791            12.77728            15.96162            17.28663            52.25662           136.97674         -0.00009        0.00169        0.00019       -0.00602        0.28212        0.95598       -5.02126        0.47787        7.07309        0.67572        0.61017           2.10147              0.0         10001.0
 120  drift     18.15050       36.38724        0.07251        2.07182        1.77677        5.68671        4.76283        1.33747        4.98349        0.00639           7.50381            12.48686            15.44448             7.48791            12.77728            15.96162            17.60390            52.58873           136.77173         -0.00006        0.00169        0.00010       -0.00602        0.28212        0.96643       -5.86600        0.64554        5.91012        0.47577        0.89618           2.81190              0.0         10001.0
 121  quad      18.44950       36.38724        0.07251        2.03657        1.57535        5.61171        4.22331        1.77975        5.44312        0.00639           7.49895            12.44103            15.33091             7.48338            12.73456            15.86861            17.60795            52.88446           136.12473         -0.00002        0.00126       -0.00006       -0.00527        0.28212        0.90235        6.45841        0.62416       -1.90036        0.37425        1.48032           4.97790              0.0         10001.0
 122  drift     18.60350       36.38724        0.07251        1.71278        1.69978        4.72810        4.62742        2.03552        5.77264        0.00639           7.49895            12.44103            15.33091             7.48338            12.73456            15.86861            17.65474            52.59944           136.44473          0.00000        0.00126       -0.00014       -0.00527        0.28212        0.89644        5.40459        0.44147       -2.09012        0.43570        1.77552           6.49427              0.0         10001.0
 123  rfgap     18.60350       36.82239        0.08838        1.71278        1.69978        4.72810        4.62742        2.02381        5.73746        0.00601           7.49861            12.43863            15.32794             7.48521            12.75877            15.81993            17.66367            52.62111           136.14776          0.00000        0.00120       -0.00014       -0.00530        0.28382        0.89097        5.26914        0.44414       -2.22162        0.43821        1.64715           6.49219              0.0         10001.0
 124  drift     18.91150       36.82239        0.08838        1.09340        1.96883        3.01619        5.47216        2.52054        6.49533        0.00601           7.49861            12.43863            15.32794             7.48521            12.75877            15.81993            17.78883            52.37963           136.58312          0.00004        0.00120       -0.00031       -0.00530        0.28382        0.86223        3.27443        0.18100       -2.63881        0.58791        2.16304           9.99937              0.0         10001.0
 125  rfgap     18.91150       37.25753        0.10251        1.09340        1.96883        3.01619        5.47216        2.50618        6.45581        0.00554           7.49841            12.43658            15.32542             7.48868            12.76950            15.77455            17.80309            52.61023           136.47272          0.00004        0.00113       -0.00031       -0.00543        0.28550        0.85680        3.21975        0.18207       -2.81320        0.59112        1.96782           9.99318              0.0         10001.0
 126  drift     19.06550       37.25753        0.10251        0.80099        2.11375        2.19017        5.91624        2.73796        6.86482        0.00554           7.49841            12.43658            15.32542             7.48868            12.76950            15.77455            17.87646            52.40107           136.63904          0.00006        0.00113       -0.00039       -0.00543        0.28550        0.83540        2.25834        0.09771       -3.04543        0.68134        2.18347          11.87809              0.0         10001.0
 127  quad      19.36450       37.25753        0.10251        0.50482        1.81323        1.39354        5.13674        3.19766        7.77194        0.00554           7.49875            12.43846            15.32774             7.48441            12.73290            15.88634            17.87954            52.48289           136.14240          0.00012        0.00305       -0.00044        0.00201        0.28550        0.74464        0.06312        0.03881        7.91266        0.50166        2.61996          16.19879              0.0         10001.0
 128  drift     19.51850       37.25753        0.10251        0.53138        1.37392        1.45778        3.92711        3.43988        8.39508        0.00554           7.49875            12.43846            15.32774             7.48441            12.73290            15.88634            18.34284            52.95313           135.60341          0.00016        0.00305       -0.00041        0.00201        0.28550        0.74738       -0.33526        0.04300        5.95997        0.28803        2.76528          18.27230              0.0         10001.0
 129  rfgap     19.51850       37.69158        0.11218        0.53138        1.37392        1.45778        3.92711        3.42052        8.34303        0.00490           7.49837            12.43936            15.32884             7.48580            12.74337            15.87959            18.36948            52.58960           137.48916          0.00016        0.00296       -0.00041        0.00183        0.28718        0.74212       -0.34806        0.04326        5.87328        0.28966        2.41305          18.24940              0.0         10001.0
 130  drift     19.82650       37.69158        0.11218        0.76343        0.53619        2.08177        1.55705        3.84253        9.45073        0.00490           7.49837            12.43936            15.32884             7.48580            12.74337            15.87959            19.19427            54.70156           136.92506          0.00026        0.00296       -0.00036        0.00183        0.28718        0.73503       -1.14636        0.08928        2.09905        0.04412        2.62415          22.04063              0.0         10001.0
 131  rfgap     19.82650       38.12561        0.12044        0.76343        0.53619        2.08177        1.55705        3.82114        9.39209        0.00420           7.49767            12.44105            15.33093             7.48543            12.74296            15.87908            19.24558            55.58093           140.53333          0.00026        0.00288       -0.00036        0.00169        0.28885        0.72964       -1.17255        0.08981        2.08617        0.04438        2.20308          21.98640              0.0         10001.0
 132  drift     19.98050       38.12561        0.12044        0.92621        0.23775        2.44019        0.65225        3.99806        9.86766        0.00420           7.49767            12.44105            15.33093             7.48543            12.74296            15.87908            19.60198            56.25897           140.47183          0.00030        0.00288       -0.00033        0.00169        0.28885        0.72143       -1.57976        0.13220        0.22877        0.00873        2.27535          23.63181              0.0         10001.0
 133  quad      20.27950       38.12561        0.12044        1.00061        0.89803        2.62185        2.33182        4.34281       10.78436        0.00420           7.49913            12.45653            15.33111             7.48362            12.72764            15.85999            19.60311            56.30172           140.22845          0.00030       -0.00309       -0.00037       -0.00459        0.28885        0.61523        0.98268        0.15426       -4.79122        0.12451        2.50752          27.88147              0.0         10001.0
 134  drift     20.43350       38.12561        0.12044        0.90795        1.43452        2.39456        3.77754        4.52278       11.36432        0.00420           7.49913            12.45653            15.33111             7.48362            12.72764            15.85999            20.18084            57.71047           140.24416          0.00025       -0.00309       -0.00044       -0.00459        0.28885        0.62527        0.78644        0.12701       -7.75425        0.31771        2.54128          29.37454              0.0         10001.0
 135  rfgap     20.43350       38.55851        0.12448        0.90795        1.43452        2.39456        3.77754        4.49795       11.29277        0.00342           7.49863            12.45413            15.32816             7.48686            12.75716            15.81793            20.29877            60.56036           148.97998          0.00025       -0.00303       -0.00044       -0.00463        0.29051        0.62003        0.74990        0.12775       -7.84139        0.31940        1.98338          29.21089              0.0         10001.0
 136  drift     20.74150       38.55851        0.12448        0.77534        2.52304        2.02466        6.69573        4.77911       12.36265        0.00342           7.49863            12.45413            15.32816             7.48686            12.75716            15.81793            21.25952            63.96021           149.61453          0.00016       -0.00303       -0.00059       -0.00463        0.29051        0.63697        0.37323        0.09316      -13.86715        0.98802        2.01936          31.48650              0.0         10001.0
 137  rfgap     20.74150       38.99157        0.12788        0.77534        2.52304        2.02466        6.69573        4.75316       12.28494        0.00266           7.49836            12.45047            15.32366             7.50075            12.83534            15.70072            21.46858            67.91712           161.13196          0.00016       -0.00292       -0.00059       -0.00469        0.29216        0.63154        0.34685        0.09369      -14.11812        0.99181        1.42721          31.18758              0.0         10001.0
 138  drift     20.89550       38.99157        0.12788        0.74216        3.07638        1.96994        8.17453        4.85327       12.73031        0.00266           7.49836            12.45047            15.32366             7.50075            12.83534            15.70072            21.83465            69.63749           161.75956          0.00011       -0.00292       -0.00066       -0.00469        0.29216        0.63992        0.16271        0.08584      -17.22855        1.47455        1.43559          31.97004              0.0         10001.0
 139  quad      21.19450       38.99157        0.12788        0.95426        3.24214        2.52774        8.63282        5.04642       13.74211        0.00266           7.49765            12.45399            15.32798             7.54810            13.06045            16.60578            21.83506            69.60941           161.69433          0.00005       -0.00166       -0.00060        0.00824        0.29216        0.52795       -2.37262        0.14194       12.73672        1.62746        1.51963          34.56472              0.0         10001.0
 140  drift     21.34850       38.99157        0.12788        1.20437        2.85155        3.26178        7.60418        5.14739       14.26780        0.00266           7.49765            12.45399            15.32798             7.54810            13.06045            16.60578            22.02520            70.45682           162.15608          0.00002       -0.00166       -0.00048        0.00824        0.29216        0.51591       -3.09189        0.22609       11.19220        1.25896        1.54397          35.65130              0.0         10001.0
 141  rfgap     21.34850       39.42363        0.12775        1.20437        2.85155        3.26178        7.60418        5.11983       14.17727        0.00195           7.49775            12.47256            15.31315             7.57179            13.13822            16.57820            22.38765            74.22977           180.38826          0.00002       -0.00134       -0.00048        0.00814        0.29381        0.51087       -3.15498        0.22736       10.80817        1.26210        0.88221          35.08400              0.0         10001.0
 142  drift     21.65650       39.42363        0.12775        1.72684        2.10058        4.75073        5.62224        5.23710       15.03718        0.00195           7.49775            12.47256            15.31315             7.57179            13.13822            16.57820            22.59839            75.90894           181.38337         -0.00002       -0.00134       -0.00022        0.00814        0.29381        0.48318       -4.63885        0.46741        7.93299        0.68487        0.90893          36.36728              0.0         10001.0
 143  rfgap     21.65650       39.85567        0.12675        1.72684        2.10058        4.75073        5.62224        5.20938       14.94226        0.00151           7.49873            12.44905            15.28429             7.58599            13.17648            16.62647            23.10247            81.05656           202.89501         -0.00002       -0.00088       -0.00022        0.00810        0.29545        0.47831       -4.76675        0.46996        7.73068        0.68740        0.25040          35.58424              0.0         10001.0
 144  drift     21.81050       39.85567        0.12675        1.99737        1.73741        5.51185        4.66632        5.22611       15.27660        0.00151           7.49873            12.44905            15.28429             7.58599            13.17648            16.62647            23.13149            81.48292           203.45299         -0.00004       -0.00088       -0.00010        0.00810        0.29545        0.46397       -5.54408        0.62875        6.36939        0.47026        0.25857          35.76831              0.0         10001.0
 145  quad      22.10950       39.85567        0.12675        1.95093        1.47517        5.40124        3.99175        5.26045       15.92332        0.00151           7.49807            12.44317            15.29584             7.58408            13.14997            16.44775            23.13169            81.48804           203.46577         -0.00005        0.00002        0.00013        0.00812        0.29545        0.35406        6.32592        0.59990       -1.19908        0.33910        0.28444          36.23959              0.0         10001.0
 146  drift     22.26350       39.85567        0.12675        1.63488        1.55694        4.53149        4.28296        5.27839       16.25744        0.00151           7.49807            12.44317            15.29584             7.58408            13.14997            16.44775            23.13251            81.49279           203.47762         -0.00005        0.00002        0.00026        0.00812        0.29545        0.32034        5.27297        0.42128       -1.30979        0.37774        0.29701          36.48588              0.0         10001.0
 147  rfgap     22.26350       40.28677        0.12266        1.63488        1.55694        4.53149        4.28296        5.25081       16.15493        0.00156           7.49938            12.43311            15.28348             7.59429            13.22019            16.49431            23.78039            91.07426           230.85998         -0.00005        0.00032        0.00026        0.00828        0.29708        0.31633        5.15775        0.42353       -1.41098        0.37931       -0.34236          35.50333              0.0         10001.0
 148  drift     22.57150       40.28677        0.12266        1.02857        1.73992        2.84014        4.90236        5.20583       16.63018        0.00156           7.49938            12.43311            15.28348             7.59429            13.22019            16.49431            23.76174            90.79892           230.74694         -0.00004        0.00032        0.00051        0.00828        0.29708        0.25121        3.15046        0.16764       -1.65384        0.47371       -0.31602          34.92494              0.0         10001.0
 149  rfgap     22.57150       40.71773        0.11767        1.02857        1.73992        2.84014        4.90236        5.17894       16.52631        0.00206           7.49998            12.41506            15.28008             7.60604            13.30043            16.55312            24.50083           100.85969           260.28306         -0.00004        0.00050        0.00051        0.00854        0.29871        0.24768        3.10539        0.16854       -1.77902        0.47557       -0.90316          33.88278              0.0         10001.0
 150  drift     22.72550       40.71773        0.11767        0.74269        1.84102        2.05944        5.23051        5.11764       16.66921        0.00206           7.49998            12.41506            15.28008             7.60604            13.30043            16.55312            24.48038           100.81036           260.15576         -0.00003        0.00050        0.00064        0.00854        0.29871        0.21714        2.13289        0.08787       -1.91389        0.53244       -0.88086          33.11299              0.0         10001.0
 151  quad      23.02450       40.71773        0.11767        0.46012        1.53817        1.24003        4.43320        5.00260       16.94560        0.00206           7.50056            12.43117            15.28109             7.59024            13.21057            16.66948            24.48012           100.81639           260.17133         -0.00002        0.00018        0.00071       -0.00434        0.29871        0.11635        0.00018        0.03373        6.27438        0.37245       -0.83488          31.64144              0.0         10001.0
 152  drift     23.17850       40.71773        0.11767        0.50579        1.14089        1.38737        3.32186        4.93967       17.08858        0.00206           7.50056            12.43117            15.28109             7.59024            13.21057            16.66948            24.33931           101.27658           261.35891         -0.00002        0.00018        0.00064       -0.00434        0.29871        0.10569       -0.45645        0.04075        4.60525        0.20490       -0.82085          31.02883              0.0         10001.0
 153  rfgap     23.17850       41.14822        0.11102        0.50579        1.14089        1.38737        3.32186        4.91444       16.98277        0.00270           7.50050            12.43267            15.28293             7.59184            13.21785            16.67868            25.07229           111.74234           292.90260         -0.00002        0.00029        0.00064       -0.00407        0.30033        0.10317       -0.46722        0.04097        4.54989        0.20597       -1.32256          30.13203              0.0         10001.0
 154  drift     23.48650       41.14822        0.11102        0.78206        0.40259        2.04091        1.18442        4.71655       17.08244        0.00270           7.50050            12.43267            15.28293             7.59184            13.21785            16.67868            24.66253           112.00857           295.92753         -0.00001        0.00029        0.00052       -0.00407        0.30033        0.08591       -1.38303        0.09796        1.30471        0.02565       -1.27164          28.21534              0.0         10001.0
 155  rfgap     23.48650       41.57908        0.10483        0.78206        0.40259        2.04091        1.18442        4.69269       16.97802        0.00339           7.50032            12.41842            15.28421             7.59170            13.21795            16.67880            25.38491           122.57333           327.29862         -0.00001        0.00039        0.00052       -0.00389        0.30194        0.08371       -1.40851        0.09849        1.29813        0.02579       -1.70875          27.42158              0.0         10001.0
 156  drift     23.64050       41.57908        0.10483        0.96211        0.25690        2.50035        0.73010        4.56040       16.93737        0.00339           7.50032            12.41842            15.28421             7.59170            13.21795            16.67880            25.12429           122.62095           329.18376          0.00000        0.00039        0.00046       -0.00389        0.30194        0.07759       -1.87509        0.14906       -0.30554        0.01050       -1.66708          26.16596              0.0         10001.0
 157  quad      23.93950       41.57908        0.10483        1.05244        0.98639        2.75032        2.54389        4.31644       16.85743        0.00339           7.50268            12.42877            15.27815             7.59172            13.23764            16.66160            25.12486           122.61066           329.15613          0.00000        0.00013        0.00046        0.00431        0.30194       -0.01086        1.08226        0.17830       -5.37772        0.15479       -1.54450          23.44084              0.0         10001.0
 158  drift     24.09350       41.57908        0.10483        0.95838        1.51731        2.49370        3.97427        4.18388       16.81698        0.00339           7.50268            12.42877            15.27815             7.59172            13.23764            16.66160            24.67148           122.99471           332.86795          0.00001        0.00013        0.00053        0.00431        0.30194        0.00388        0.89473        0.14786       -8.35446        0.36626       -1.51615          22.42780              0.0         10001.0
 159  rfgap     24.09350       42.01014        0.09880        0.95838        1.51731        2.49370        3.97427        4.16287       16.71574        0.00400           7.50300            12.42710            15.27609             7.60580            13.35080            16.76184            25.24087           131.67841           361.25764          0.00001        0.00012        0.00053        0.00433        0.30355        0.00250        0.85684        0.14864       -8.43385        0.36753       -1.85629          21.92865              0.0         10001.0
 160  drift     24.40150       42.01014        0.09880        0.81286        2.59284        2.13662        6.85282        3.84129       16.46014        0.00400           7.50300            12.42710            15.27609             7.60580            13.35080            16.76184            24.18049           132.00996           370.29443          0.00001        0.00012        0.00066        0.00433        0.30355        0.03846        0.49749        0.10692      -14.47855        1.07323       -1.76769          19.49034              0.0         10001.0
 161  rfgap     24.40150       42.44199        0.09434        0.81286        2.59284        2.13662        6.85282        3.82215       16.36262        0.00457           7.50354            12.44087            15.27424             7.64004            13.60832            16.97857            24.67373           139.26556           396.20358          0.00001        0.00006        0.00066        0.00436        0.30514        0.03716        0.47047        0.10748      -14.68584        1.07404       -2.05444          19.10608              0.0         10001.0
 162  drift     24.55550       42.44199        0.09434        0.76696        3.13904        2.02724        8.31207        3.63662       16.15078        0.00457           7.50354            12.44087            15.27424             7.64004            13.60832            16.97857            24.08025           139.53273           401.53304          0.00001        0.00006        0.00073        0.00436        0.30514        0.05861        0.29547        0.09568      -17.79259        1.57421       -1.99049          17.72257              0.0         10001.0
 163  quad      24.85450       42.44199        0.09434        0.94819        3.27793        2.53312        8.70505        3.29849       15.73767        0.00457           7.50370            12.42557            15.25545             7.57667            13.14283            17.51210            24.08474           139.50478           401.45259          0.00001        0.00008        0.00065       -0.00926        0.30514       -0.01965       -2.28701        0.14625       14.05758        1.73096       -1.75518          14.57733              0.0         10001.0
 164  drift     25.00850       42.44199        0.09434        1.18077        2.86812        3.21854        7.63184        3.12226       15.52578        0.00457           7.50370            12.42557            15.25545             7.57667            13.14283            17.51210            23.74484           139.58704           404.01459          0.00001        0.00008        0.00051       -0.00926        0.30514       -0.01474       -2.94309        0.22679       12.29054        1.32520       -1.66184          13.24829              0.0         10001.0
 165  rfgap     25.00850       42.87425        0.09058        1.18077        2.86812        3.21854        7.63184        3.10680       15.43575        0.00501           7.50499            12.40877            15.25356             7.59503            13.25438            17.59042            24.03385           144.03264           423.00335          0.00001       -0.00010        0.00051       -0.00914        0.30673       -0.01538       -2.99931        0.22793       11.93004        1.32889       -1.85979          13.09212              0.0         10001.0
 166  drift     25.31650       42.87425        0.09058        1.66698        2.07613        4.60769        5.55609        2.72189       14.85336        0.00501           7.50499            12.40877            15.25356             7.59503            13.25438            17.59042            23.35537           146.19853           428.10698          0.00001       -0.00010        0.00023       -0.00914        0.30673       -0.00555       -4.35003        0.45429        8.60814        0.69631       -1.61993          10.34103              0.0         10001.0
 167  rfgap     25.31650       43.30701        0.08776        1.66698        2.07613        4.60769        5.55609        2.70851       14.76886        0.00538           7.50682            12.40643            15.25069             7.60353            13.30148            17.62952            23.55459           149.10920           443.11797          0.00001       -0.00032        0.00023       -0.00908        0.30832       -0.00605       -4.46084        0.45653        8.42712        0.69912       -1.77484          10.25578              0.0         10001.0
 168  drift     25.47050       43.30701        0.08776        1.91865        1.69136        5.31652        4.54485        2.50430       14.40244        0.00538           7.50682            12.40643            15.25069             7.60353            13.30148            17.62952            23.22037           150.39296           445.60878          0.00001       -0.00032        0.00009       -0.00908        0.30832       -0.00081       -5.16583        0.60478        6.84077        0.46400       -1.62810           8.89375              0.0         10001.0
 169  quad      25.76950       43.30701        0.08776        1.86116        1.36907        5.16761        3.75314        2.13693       13.68842        0.00538           7.50080            12.45752            15.35122             7.61995            13.40914            17.53975            23.23116           150.36425           445.52371          0.00001        0.00065       -0.00018       -0.00988        0.30832       -0.07240        6.13658        0.56953       -0.53919        0.30336       -1.28674           6.47279              0.0         10001.0
 170  drift     25.92350       43.30701        0.08776        1.55315        1.40826        4.31251        3.94574        1.95856       13.32182        0.00538           7.50080            12.45752            15.35122             7.61995            13.40914            17.53975            23.18011           149.74899           445.01930          0.00002        0.00065       -0.00033       -0.00988        0.30832       -0.08887        5.09128        0.39662       -0.60472        0.32098       -1.11387           5.44930              0.0         10001.0
 171  rfgap     25.92350       43.73971        0.08460        1.55315        1.40826        4.31251        3.94574        1.94901       13.24814        0.00560           7.50109            12.45659            15.35008             7.62284            13.42216            17.57977            23.23874           151.23926           452.13532          0.00002        0.00055       -0.00033       -0.00997        0.30989       -0.08872        4.99500        0.39864       -0.68306        0.32249       -1.19940           5.43662              0.0         10001.0
 172  drift     26.23150       43.73971        0.08460        0.96126        1.50614        2.64340        4.35935        1.60912       12.37826        0.00560           7.50109            12.45659            15.35008             7.62284            13.42216            17.57977            23.15848           149.91278           450.86551          0.00004        0.00055       -0.00064       -0.00997        0.30989       -0.12020        2.99001        0.15270       -0.82312        0.36888       -0.82082           3.71861              0.0         10001.0
 173  rfgap     26.23150       44.17240        0.08132        0.96126        1.50614        2.64340        4.35935        1.60137       12.31131        0.00574           7.50127            12.45644            15.34990             7.62437            13.43395            17.61830            23.17434           150.65107           454.45269          0.00004        0.00050       -0.00064       -0.01014        0.31146       -0.11982        2.95353        0.15347       -0.91209        0.37068       -0.88021           3.71688              0.0         10001.0
 174  drift     26.38550       44.17240        0.08132        0.68320        1.56447        1.92301        4.58174        1.45116       11.81319        0.00574           7.50127            12.45644            15.34990             7.62437            13.43395            17.61830            23.14473           149.95046           453.70790          0.00005        0.00050       -0.00080       -0.01014        0.31146       -0.13448        1.97782        0.07752       -0.98820        0.39994       -0.67910           3.05622              0.0         10001.0
