n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  16  drift      2.44150       21.91908       -0.00348        0.69942        2.31840        1.88484        6.38406        2.14044        8.45943        0.00808           7.51734            12.48836            15.27628             7.49121            12.47219            14.80378            14.92541            40.10828            55.28364         -0.00038        0.00519       -0.00008       -0.00068        0.21821        1.23970        0.24894        0.05680      -10.25155        0.62628       -1.65380           5.12061              0.0         10001.0
  17  rfgap      2.44150       22.31647        0.03113        0.69942        2.31840        1.88484        6.38406        2.12134        8.37953        0.00854           7.51576            12.49000            15.27829             7.49287            12.47498            14.56506            14.95227            40.33005            55.43650         -0.00038        0.00492       -0.00008       -0.00017        0.22017        1.22847        0.21504        0.05732      -10.61336        0.63175       -1.79703           5.10984              0.0         10001.0
  18  drift      2.59550       22.31647        0.03113        0.68528        2.91876        1.81643        8.01964        1.73421        7.27975        0.00854           7.51576            12.49000            15.27829             7.49287            12.47498            14.56506            15.83814            41.18332            55.39114         -0.00030        0.00492       -0.00008       -0.00017        0.22017        1.31868       -0.06604        0.05503      -13.38363        1.00130       -1.23255           3.22398              0.0         10001.0
  19  quad       2.89450       22.31647        0.03113        1.00368        3.18704        2.64427        8.73745        1.14706        5.49285        0.00854           7.51700            12.50237            15.29342             7.45879            12.42374            14.69396            15.87428            41.42634            55.94375         -0.00023        0.00018       -0.00008        0.00051        0.22017        1.28651       -2.42649        0.11802        8.25233        1.19928       -0.31162           1.40725              0.0         10001.0
  20  drift      3.04850       22.31647        0.03113        1.32794        2.84961        3.50278        7.80605        1.12596        5.19383        0.00854           7.51700            12.50237            15.29342             7.45879            12.42374            14.69396            16.12850            41.69247            56.84045         -0.00023        0.00018       -0.00007        0.00051        0.22017        1.33287       -3.32525        0.20660        7.36501        0.95878        0.15510           1.33459              0.0         10001.0
  21  rfgap      3.04850       22.71673        0.06925        1.32794        2.84961        3.50278        7.80605        1.11607        5.14715        0.00842           7.51553            12.49520            15.32213             7.45302            12.40701            14.41837            16.12657            41.64578            56.69949         -0.00023        0.00021       -0.00007        0.00090        0.22211        1.32129       -3.44595        0.20847        6.81829        0.96800        0.11660           1.33443              0.0         10001.0
  22  drift      3.35650       22.71673        0.06925        2.01361        2.23324        5.42797        6.08814        1.60790        7.18855        0.00842           7.51553            12.49520            15.32213             7.45302            12.40701            14.41837            16.60158            42.11414            62.16109         -0.00022        0.00021       -0.00004        0.00090        0.22211        1.36080       -5.34812        0.47932        5.30727        0.59453        0.99252           2.69041              0.0         10001.0
  23  rfgap      3.35650       23.11885        0.10653        2.01361        2.23324        5.42797        6.08814        1.59369        7.12079        0.00804           7.51141            12.48652            15.34913             7.45116            12.44177            14.29268            16.60601            42.11230            62.06677         -0.00022        0.00011       -0.00004        0.00113        0.22405        1.34889       -5.62340        0.48377        4.97336        0.59987        0.91681           2.68812              0.0         10001.0
  24  drift      3.51050       23.11885        0.10653        2.37493        1.94895        6.43270        5.28656        1.95532        8.43595        0.00804           7.51141            12.48652            15.34913             7.45116            12.44177            14.29268            16.82792            42.49873            64.14903         -0.00022        0.00011       -0.00002        0.00113        0.22405        1.34531       -6.66188        0.67297        4.31271        0.45687        1.30308           3.99313              0.0         10001.0
  25  quad       3.80950       23.11885        0.10653        2.37218        1.93006        6.46511        5.15710        2.75211       10.97380        0.00804           7.49973            12.39689            15.16439             7.46268            12.50349            14.44655            16.85812            42.62084            64.13971         -0.00018        0.00250        0.00002        0.00171        0.22405        1.22616        6.71416        0.67246       -3.95803        0.44736        2.07985           7.89645              0.0         10001.0
