 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1      -0.11998E-01       0.22965E+00      -0.10089E-02       0.82277E+00      -0.15256E+00       0.69318E+01
      0      1       0.19302E-01      -0.13567E+00      -0.79566E-01      -0.12964E+01       0.34028E+00      -0.22381E+02
      0      1       0.16018E-01       0.32130E-01      -0.28955E+00      -0.45426E+01       0.97339E-01       0.27053E+02
      0      1      -0.62988E-02       0.80186E-01       0.49166E+00      -0.10895E+02       0.24611E+00      -0.14103E+02
      0      1       0.15891E-01      -0.20585E+00      -0.51224E+00       0.17694E+01       0.96879E-01       0.18791E+01
      0      1      -0.46427E-02       0.43926E+00      -0.69511E+00      -0.77749E+01      -0.15032E-01      -0.16593E+01
      0      1       0.46341E-01       0.62819E+00      -0.78574E+00      -0.53535E+01       0.11271E-01       0.12419E+02
      0      1       0.63359E-02       0.34632E-01      -0.14256E+01       0.53594E+01      -0.87608E-01       0.16515E+02
      0      1       0.20134E-01      -0.96286E-01       0.17214E+01      -0.23699E+01       0.17403E+00       0.28061E-01
      0      1      -0.94385E-02       0.43315E-01      -0.10789E+00       0.24866E+01      -0.44100E+00       0.51268E+01
      0      1       0.33356E-01       0.10195E+00       0.35779E+00       0.80193E+01      -0.31616E+00       0.53063E+02
      0      1       0.11623E-01       0.26444E+00       0.61414E+00      -0.63424E+01       0.39589E+00      -0.46338E+02
      0      1      -0.66992E-02       0.21171E+00      -0.42422E+00       0.26484E+01      -0.12292E+00       0.20640E+01
      0      1       0.39053E-01      -0.73884E-01       0.59025E+00       0.35177E+01       0.50441E-01       0.38822E+02
      0      1       0.29015E-01      -0.35489E+00      -0.13116E+01      -0.61709E+01       0.63800E-01       0.21379E+02
      0      1      -0.28551E-01      -0.68856E+00      -0.51379E+00       0.43676E+01      -0.53475E-01       0.20257E+02
      0      1      -0.22669E-02       0.17413E+00       0.33930E+00      -0.59045E+01      -0.19192E+00      -0.16183E+02
      0      1       0.31300E-01       0.12537E+00       0.93100E+00      -0.26712E+01      -0.25290E+00       0.47572E+02
      0      1       0.34436E-01      -0.32350E+00       0.10838E+01      -0.34247E+01       0.21282E+00      -0.37611E+02
      0      1       0.49563E-02       0.15298E+00      -0.12197E+01       0.11737E+01       0.98469E-01      -0.17446E+02
      0      1      -0.53161E-02       0.28206E+00       0.17038E+00      -0.44263E+01       0.44485E+00      -0.35574E+02
      0      1       0.64985E-02       0.48349E-01       0.44532E+00       0.10442E+01      -0.24961E+00      -0.23513E+02
      0      1       0.89137E-02       0.44396E+00       0.41591E+00      -0.13925E+00       0.49002E-01      -0.13823E+02
      0      1       0.23120E-01      -0.26185E+00       0.66843E+00       0.63834E+00       0.21579E+00      -0.26986E+02
      0      1       0.11550E-01       0.23287E-01       0.41579E+00      -0.63079E+01       0.27617E+00       0.23811E+02
      0      1       0.40803E-01      -0.15207E+00       0.17191E+00       0.51723E+01      -0.16010E+00       0.51023E+02
      0      1      -0.25156E-01       0.30565E+00       0.32765E+00       0.16171E+00      -0.95179E-01       0.27860E+02
      0      1       0.37299E-01      -0.35974E-01      -0.81843E-01      -0.97017E+01      -0.24577E+00       0.33113E+02
      0      1       0.71428E-02       0.81914E-01       0.15180E+01      -0.16307E+01       0.17159E+00      -0.25723E+02
      0      1       0.36124E-01      -0.31022E+00       0.74830E-01      -0.30867E+01       0.14535E+00      -0.27305E+02
      0      1       0.24991E-01       0.11166E+00       0.58232E+00      -0.19527E+01      -0.17348E+00       0.45245E+02
      0      1       0.24265E-01      -0.19767E+00       0.16719E+00       0.26672E+01       0.23660E+00      -0.23466E+02
      0      1      -0.15565E-02       0.26954E+00       0.13926E+01      -0.24498E+01       0.22425E+00      -0.31363E+02
      0      1       0.55672E-02       0.28805E+00       0.13496E+01      -0.67307E+01       0.33700E+00      -0.37340E+02
      0      1       0.95194E-02      -0.11354E+00       0.31367E+00       0.23628E+01       0.31164E+00       0.21353E+01
      0      1       0.28324E-02       0.54504E+00       0.21757E+00       0.37506E+01       0.18498E+00      -0.35276E+02
      0      1      -0.13757E-01       0.43333E+00      -0.78703E+00      -0.77588E+00      -0.22111E+00      -0.13951E+02
      0      1       0.35093E-01      -0.14330E+00       0.70075E+00       0.31767E+01       0.12089E+00      -0.20636E+02
      0      1       0.31327E-02      -0.89839E-01      -0.11530E+01      -0.28617E+01      -0.96011E-01       0.58207E+01
      0      1       0.22721E-01      -0.94973E-01       0.11518E+01      -0.59682E+01       0.53492E-02       0.23731E+02
      0      1       0.52149E-02       0.15826E+00       0.18251E+00      -0.52996E+01      -0.34113E+00       0.13042E+02
      0      1       0.10415E-01       0.42842E+00      -0.45371E+00      -0.39520E+00      -0.11771E+00       0.49393E+02
      0      1       0.38439E-01      -0.35008E+00      -0.70327E+00       0.87769E+01       0.65408E-01      -0.23675E+02
      0      1       0.36761E-01      -0.25788E+00      -0.14257E+01       0.22897E+01       0.18987E-01      -0.19353E+02
      0      1       0.31699E-01      -0.15769E+00       0.15967E+01      -0.54562E+01       0.30266E-01       0.17513E+02
      0      1       0.32542E-01      -0.19502E+00      -0.88168E+00       0.11369E+02       0.14273E+00       0.14349E+02
      0      1       0.25185E-02       0.32346E+00       0.36397E+00      -0.61271E+01       0.11581E+00      -0.16825E+02
      0      1      -0.87496E-02       0.15436E+00      -0.14285E+01       0.10579E+02       0.45148E-01      -0.17854E+02
      0      1       0.93582E-02       0.58507E-01       0.79945E+00      -0.12354E+02      -0.19607E-02       0.67444E+01
      0      1       0.88419E-02      -0.43255E+00       0.24102E+00       0.27578E+00       0.19482E+00      -0.28715E+01
      0      1       0.28300E-01      -0.49523E+00      -0.74721E+00       0.15928E+01       0.26139E+00      -0.22634E+02
      0      1      -0.54380E-02       0.21054E+00      -0.18275E+01       0.28179E+01      -0.40945E-01      -0.14423E+02
      0      1      -0.75069E-02       0.20343E+00      -0.17459E+01      -0.42887E+01       0.36753E-01      -0.15547E+00
      0      1      -0.93748E-02       0.47715E+00      -0.68026E-01       0.83304E+00      -0.63039E-01      -0.33501E+02
      0      1       0.22584E-01      -0.44920E+00       0.36861E+00      -0.90261E+01       0.16840E+00      -0.11253E+02
      0      1       0.30223E-01      -0.34641E+00       0.73941E+00       0.10554E+02       0.69999E-01       0.10544E+02
      0      1      -0.34357E-02       0.22224E+00      -0.10507E+01      -0.26286E+01      -0.19415E+00       0.56634E+01
      0      1       0.61308E-02       0.79905E-01      -0.10138E+01      -0.39943E+01       0.15797E+00      -0.28788E+02
      0      1      -0.14853E-01       0.16695E+00       0.14078E+01      -0.76332E+01       0.57889E-02       0.56841E+01
      0      1       0.13964E-01       0.77042E-02       0.11539E+01       0.80553E+01      -0.20344E+00       0.23533E+02
      0      1      -0.41672E-02      -0.63432E-01      -0.42810E+00      -0.32561E+01      -0.35965E+00       0.34883E+01
      0      1       0.44168E-01      -0.24672E+00      -0.39598E+00       0.76627E+01       0.87814E-01       0.40897E+02
      0      1       0.32366E-01      -0.27687E+00       0.24997E+00      -0.67215E+01      -0.21258E+00       0.25801E+02
      0      1      -0.28674E-03       0.35532E+00      -0.48850E+00       0.98404E+01      -0.16664E+00       0.38075E+02
      0      1      -0.64095E-02       0.38055E+00      -0.24593E+00      -0.60849E+01      -0.45780E-01       0.51726E+01
      0      1       0.24480E-01      -0.40736E+00       0.12168E+01      -0.62599E+01      -0.14353E+00       0.26173E+02
      0      1       0.60204E-02       0.15744E+00      -0.97833E-01       0.97385E+01       0.10940E+00       0.78706E+01
      0      1       0.55117E-02      -0.71407E-01      -0.12204E+01       0.10870E+01      -0.30305E+00       0.23616E+02
      0      1      -0.90770E-02      -0.65410E+00      -0.74549E+00       0.52305E+01       0.73085E-01       0.33940E+02
      0      1       0.12575E-01      -0.42588E-01      -0.13643E+01       0.41718E+00      -0.16409E+00       0.19208E+02
      0      1       0.34523E-02       0.49050E+00       0.12575E+00      -0.12045E+02       0.86047E-01       0.10135E+02
      0      1       0.39702E-01      -0.25298E+00      -0.57336E+00      -0.98089E+01       0.25863E+00      -0.24127E+02
      0      1      -0.13005E-01       0.41222E+00       0.22173E+00      -0.32168E+01       0.29717E+00      -0.34285E+02
      0      1      -0.19923E-01       0.37284E+00      -0.13944E+01       0.14853E+01       0.26166E-01      -0.15786E+02
      0      1       0.11795E-01       0.52451E+00      -0.13334E-01      -0.12354E+02       0.18648E-01       0.10805E+02
      0      1      -0.82291E-02       0.15313E+00       0.12694E+01      -0.19726E+01       0.40291E+00      -0.15860E+02
      0      1       0.25372E-01       0.16392E+00       0.36304E+00       0.84032E+01       0.17015E+00      -0.41713E+02
