n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  15  rfgap      2.60000       21.05279       -0.03735        3.39627        2.64259        9.22004        7.34812        3.99513       12.68682        0.00493           7.61040            12.80060            15.81297             7.46997            12.44572            14.68521            10.70385            29.55093            44.87612         -0.00078       -0.00679       -0.00009       -0.00069        0.21385        0.35751       -2.37437        1.29646       -1.84545        0.79966       -2.77411          23.90001              0.0         10001.0
  16  drift      2.80000       21.05279       -0.03735        3.52106        2.76535        9.53521        7.66331        3.62051       11.89693        0.00493           7.61040            12.80060            15.81297             7.46997            12.44572            14.68521            10.70397            29.57804            44.84919         -0.00091       -0.00679       -0.00010       -0.00069        0.21385        0.39715       -2.47677        1.39348       -1.95564        0.87568       -2.47815          19.62776              0.0         10001.0
  17  drift      3.00000       21.05279       -0.03735        3.64657        2.88956        9.89107        7.97851        3.25218       11.10705        0.00493           7.61040            12.80060            15.81297             7.46997            12.44572            14.68521            10.70430            29.60472            44.82169         -0.00105       -0.00679       -0.00012       -0.00069        0.21385        0.43678       -2.57916        1.49460       -2.06583        0.95611       -2.18215          15.83680              0.0         10001.0
  18  drift      3.20000       21.05281       -0.03729        3.76799        3.01560        9.97568        8.29370        2.89294       10.31717        0.00493           7.60169            12.82259            15.05882             7.47281            12.46047            14.68529            10.70821            29.62867            44.79012         -0.00118       -0.00719       -0.00010       -0.00044        0.21385        0.47690       -2.67752        1.59761       -2.17600        1.04094       -1.88604          12.52679              4.0          9997.0
  19  drift      3.40000       21.05282       -0.03725        3.89001        3.14276        9.97545        8.60889        2.54601        9.52728        0.00493           7.59395            12.78245            14.78595             7.47524            12.45980            14.68450            10.71200            29.65271            44.75881         -0.00334       -0.01074       -0.00012       -0.00063        0.21385        0.51699       -2.77591        1.70450       -2.28618        1.13021       -1.59009           9.69900              4.0          9993.0
  20  drift      3.60000       21.05285       -0.03710        4.00292        3.27231        9.97422        8.92408        2.21786        8.73740        0.00493           7.57132            12.71777            14.72817             7.48377            12.45959            14.68426            10.72016            29.66915            44.71612         -0.00864       -0.01834       -0.00034       -0.00101        0.21385        0.55777       -2.86601        1.81028       -2.39641        1.22391       -1.29446           7.35432             13.0          9980.0
  21  rfgap      3.60000       21.40922       -0.02332        4.00292        3.27231        9.97422        8.92408        2.19937        8.65848        0.00539           7.62116            13.00034            15.17844             7.49734            12.49275            14.65425            10.73973            29.76072            45.54050         -0.00864       -0.02465       -0.00034       -0.00112        0.21565        0.55266       -3.89941        1.81364       -3.10609        1.23202       -1.49471           7.34023              0.0          9980.0
  22  drift      3.80000       21.40927       -0.02309        4.14813        3.44080        9.99542        9.34129        1.85527        7.71519        0.00539           7.57770            12.94056            15.19736             7.51138            12.49319            14.65477            10.75623            29.75768            45.46628         -0.00504       -0.01630       -0.00073       -0.00231        0.21565        0.58783       -4.04773        1.95877       -3.27849        1.35962       -1.13937           5.21510             26.0          9954.0
  23  drift      4.00000       21.40935       -0.02270        4.28883        3.61038        9.99268        9.75849        1.55681        6.90021        0.00540           7.52693            12.73794            15.20948             7.52500            12.49730            14.65959            10.77901            29.74726            45.38102          0.00383        0.00209       -0.00166       -0.00423        0.21565        0.62241       -4.19142        2.10804       -3.45167        1.49423       -0.78400           3.66438             31.0          9923.0
  24  drift      4.20000       21.40939       -0.02252        4.40454        3.78024        9.99144        9.88226        1.33598        6.10694        0.00541           7.44634            12.55339            15.22546             7.54312            12.46481            14.60435            10.82440            29.68859            45.29152          0.00782        0.00952       -0.00394       -0.00881        0.21565        0.65626       -4.30487        2.24738       -3.62236        1.63420       -0.42860           2.68722             61.0          9862.0
