,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
0,3.0,4.0,12.0,6.949700723924419e-09,4.830907758000187e-17,1.0737427886276168e-20,1.0362156091410787e-10,0.0017601362128745477,1.1056840942939767e-20,0.6
1,3.0,4.0,16.0,5.635634901502243e-09,3.1766084044473745e-17,5.70330144354734e-21,7.552020553168099e-11,0.0009564902409252448,4.9510493444851474e-23,0.6
2,3.0,4.0,20.0,4.680556576619269e-09,2.1910928366584662e-17,3.318499650767305e-21,5.760642022177133e-11,0.0005621901864471292,2.761138310834234e-25,0.6
3,5.0,4.0,12.0,8.245953031086862e-09,6.801088612185776e-17,1.514473096715769e-20,1.2306393040675114e-10,0.0017690941504248047,1.3666451037000253e-20,0.6
4,5.0,4.0,16.0,6.5984636634120424e-09,4.354741923433299e-17,7.696516963917337e-21,8.772979518907666e-11,0.0009122281850371595,3.778210234646691e-23,0.6
5,5.0,4.0,20.0,5.428106907495109e-09,2.9468651460786996e-17,4.30686159087566e-21,6.562668352793443e-11,0.0005002081210656582,1.0041977758502228e-25,0.6
6,7.0,4.0,12.0,7.917755377727497e-09,6.270171223926341e-17,1.086201773071556e-20,1.0422100426840819e-10,0.0008583688160162724,2.6026763797868448e-23,0.6
7,7.0,4.0,16.0,6.369750789479036e-09,4.057936368076112e-17,5.638560692317092e-21,7.509035019439643e-11,0.0004224615346207336,2.1200441649581778e-26,0.6
8,7.0,4.0,20.0,5.265299239251516e-09,2.7726592679670306e-17,3.2166008077174683e-21,5.67150844812689e-11,0.0002233702126391984,0.0,0.6
9,9.0,4.0,12.0,7.117438710883146e-09,5.0664067824507043e-17,6.134021329101626e-21,7.831999316331448e-11,0.0002610127897568674,0.0,0.6
10,9.0,4.0,16.0,5.7991664148563686e-09,3.3633643736149354e-17,3.3126289512848794e-21,5.755544241238077e-11,0.00011931092928598561,0.0,0.6
11,9.0,4.0,20.0,4.834209994549278e-09,2.3371534185371486e-17,1.9479139713544864e-21,4.413517838815752e-11,5.9742331260462466e-05,0.0,0.6
12,11.0,4.0,12.0,6.227922792266408e-09,3.8790047990120484e-17,3.0256836890734225e-21,5.500621500406497e-11,4.4699214512706555e-05,0.0,0.6
13,11.0,4.0,16.0,5.140661472055128e-09,2.6428117345266226e-17,1.7169749942293678e-21,4.143639697451225e-11,1.911373401625827e-05,0.0,0.6
14,11.0,4.0,20.0,4.335610962117415e-09,1.8798574575367554e-17,1.052160534856167e-21,3.2437024136874314e-11,9.031176193804205e-06,0.0,0.6
15,3.0,5.0,12.0,6.259975182892061e-09,3.9193783796378524e-17,6.4945059540304425e-21,8.058849765338999e-11,0.0007484283679240627,5.7719908381406616e-24,0.6
16,3.0,5.0,16.0,5.116903726179235e-09,2.6186273769150248e-17,3.5700261633065995e-21,5.974969592647815e-11,0.0003959968629980699,8.72386247355491e-27,0.6
17,3.0,5.0,20.0,4.279818025508137e-09,1.8318947283233993e-17,2.104951769626692e-21,4.587975337364721e-11,0.00021560969943439952,0.0,0.6
18,5.0,5.0,12.0,7.4429769257801816e-09,5.5407294850791524e-17,9.389333095318628e-21,9.689857117274035e-11,0.0008023009969071894,1.312432823046512e-23,0.6
19,5.0,5.0,16.0,6.020084632882597e-09,3.624637279814727e-17,4.953811078075029e-21,7.038331533875788e-11,0.0003993627759034525,1.1206739655753032e-26,0.6
20,5.0,5.0,20.0,4.9860061751212505e-09,2.4863098377390616e-17,2.840799043374084e-21,5.3299146741520015e-11,0.00021113762235417828,0.0,0.6
21,7.0,5.0,12.0,7.252240514981813e-09,5.260232720311823e-17,7.334715974555165e-21,8.564295636276905e-11,0.0004274750966600511,2.72497703735976e-26,0.6
22,7.0,5.0,16.0,5.889015865542687e-09,3.4684425512506865e-17,3.917647893377966e-21,6.259111672895736e-11,0.00020229385193717964,0.0,0.6
23,7.0,5.0,20.0,4.893770116130569e-09,2.395124919805431e-17,2.2632485217103032e-21,4.7573611610958264e-11,0.00010100479374296733,0.0,0.6
24,9.0,5.0,12.0,6.640679012981083e-09,4.410316279257704e-17,4.545039129634677e-21,6.741690536975631e-11,0.00014260719792244506,0.0,0.6
25,9.0,5.0,16.0,5.4434775494828735e-09,2.96339519294429e-17,2.5040977188297617e-21,5.0040960410745135e-11,6.338136151699454e-05,0.0,0.6
26,9.0,5.0,20.0,4.55525522969177e-09,2.075182721262245e-17,1.477004988227901e-21,3.8431822598309083e-11,2.9477900172011427e-05,0.0,0.6
27,11.0,5.0,12.0,5.902551477180505e-09,3.48425699691696e-17,2.4560284038394725e-21,4.95583333440449e-11,2.817928082833322e-05,0.0,0.6
28,11.0,5.0,16.0,4.895792813347466e-09,2.397019559296794e-17,1.4083217432401263e-21,3.7527613076774895e-11,1.1595478894155346e-05,0.0,0.6
29,11.0,5.0,20.0,4.136936182607206e-09,1.7115103251405548e-17,8.622724408649042e-22,2.936447583160483e-11,5.1468127876637e-06,0.0,0.6
30,3.0,6.0,12.0,5.615239948300367e-09,3.1534786833412996e-17,3.8671564246860205e-21,6.218646496373644e-11,0.0002733155632713531,0.0,0.6
31,3.0,6.0,16.0,4.634629125503675e-09,2.1481959466005186e-17,2.172335038230238e-21,4.6608315118981056e-11,0.00013243135017284953,0.0,0.6
32,3.0,6.0,20.0,3.9037833353192185e-09,1.5240846793896536e-17,1.3224647804936251e-21,3.636570885454627e-11,7.094772171609665e-05,0.0,0.6
33,5.0,6.0,12.0,6.68749189579483e-09,4.472825492772949e-17,5.707071407964498e-21,7.554516138022672e-11,0.00031472093262668036,1.0042158858843745e-27,0.6
34,5.0,6.0,16.0,5.468484682052358e-09,2.990746731760528e-17,3.142599763998172e-21,5.605889549391936e-11,0.00015377309422802952,0.0,0.6
35,5.0,6.0,20.0,4.564717972361869e-09,2.0838495312201474e-17,1.8451449980183636e-21,4.2955151006815973e-11,7.725273237091916e-05,0.0,0.6
36,7.0,6.0,12.0,6.602412805404925e-09,4.359663945267372e-17,4.784599698790385e-21,6.9170800911876e-11,0.00018156601169012026,0.0,0.6
37,7.0,6.0,16.0,5.408084365450269e-09,2.9250008372859375e-17,2.631869031737939e-21,5.1301744919037e-11,8.260415281353583e-05,0.0,0.6
38,7.0,6.0,20.0,4.52776067137939e-09,2.0502172715228715e-17,1.5560179387693628e-21,3.94463932289045e-11,3.954455871947852e-05,0.0,0.6
39,9.0,6.0,12.0,6.14130086332543e-09,3.7718801271069414e-17,3.2249771877436814e-21,5.678888260693004e-11,6.664427308133434e-05,0.0,0.6
40,9.0,6.0,16.0,5.066169462784142e-09,2.5667888994586377e-17,1.81596893981996e-21,4.261418707214723e-11,2.8666007647174994e-05,0.0,0.6
41,9.0,6.0,20.0,4.260342027481905e-09,1.8151597020953025e-17,1.0828298243953895e-21,3.290637969141226e-11,1.2526935235846813e-05,0.0,0.6
42,11.0,6.0,12.0,5.542545917882454e-09,3.072171390302929e-17,1.8986511938375286e-21,4.3573514820789114e-11,1.4955345005398353e-05,0.0,0.6
43,11.0,6.0,16.0,4.619145442243937e-09,2.133760557423593e-17,1.1009576329957938e-21,3.318068162343555e-11,5.8612944093088516e-06,0.0,0.6
44,11.0,6.0,20.0,3.9151794242606796e-09,1.5329305923406876e-17,6.759992526895805e-22,2.5999985628641806e-11,2.421971468569432e-06,0.0,0.6
45,3.0,7.0,12.0,5.053315018357069e-09,2.5538315316307637e-17,2.3226415545268092e-21,4.819379165957799e-11,8.635358283265476e-05,0.0,0.6
46,3.0,7.0,16.0,4.2027375408608565e-09,1.7664350627913386e-17,1.347790552226389e-21,3.671226705375724e-11,4.0502404482279504e-05,0.0,0.6
47,3.0,7.0,20.0,3.561020844284969e-09,1.2681694650648155e-17,8.251972161208549e-22,2.8726246119548144e-11,1.926002932793101e-05,0.0,0.6
48,5.0,7.0,12.0,6.0202239626041345e-09,3.624662989892476e-17,3.533339011731496e-21,5.944189609805104e-11,0.00011449818956032177,0.0,0.6
49,5.0,7.0,16.0,4.958137468449268e-09,2.458509474762369e-17,1.9675915831736286e-21,4.435754257365514e-11,5.007541068225554e-05,0.0,0.6
50,5.0,7.0,20.0,4.171970505084526e-09,1.7406524613434946e-17,1.1867181397102836e-21,3.4448775590872364e-11,2.4086723154336874e-05,0.0,0.6
