0	quad	5108.525698	20	20	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-5202.835894	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	5295.906414	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-5387.410323	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	5477.987113	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-5566.751071	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	5654.31374	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-5740.780542	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	5825.704409	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-5910.260575	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	5992.872122	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6075.286126	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6156.444594	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6236.395904	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6315.78331	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6394.067719	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6471.902204	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6548.728601	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6624.57835	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6700.124037	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6774.773323	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6848.555152	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	6922.159042	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-6994.294074	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7066.31675	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7137.587938	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7208.129617	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7278.662359	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7347.813887	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7417.009907	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7485.568465	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7553.506706	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7620.840957	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7688.329477	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7754.508918	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7820.88567	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	7886.730696	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-7951.286912	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8016.10028	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8080.419472	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8144.25604	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8207.621031	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8271.328512	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8333.788539	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8396.624162	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8458.2186	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8520.220144	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8580.98563	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8642.188296	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8703.007073	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8763.449932	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8822.663566	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	8882.370974	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-8941.724396	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9000.730849	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9059.396599	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9118.62055	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9176.631218	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9234.317423	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9291.694046	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9349.672731	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9406.437919	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9462.904045	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9520.009038	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9575.898365	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9632.448094	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9687.780423	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9743.793858	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9798.587634	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9854.083007	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	9909.328245	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-9963.349551	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	10018.10169	40	40	20	0	200
1	drift	30	20	20			
1	rfgap	2.263504741	-45	6	20		
2	drift	60	20	20			
1	rfgap	2.263504741	-45	6	20		
1	drift	30	20	20			
							
0	quad	-10072.61599	40	40	20	0	200
1	drift	30	20	20			
