n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  16  drift      2.44150       21.91494       -0.02236        0.75398        2.04720        1.92286        6.02440        4.81756       13.94925        0.00228           7.52874            12.73704            14.88842             7.57898            13.24873            18.08700            18.21602            55.91143            95.33066         -0.00047        0.00445        0.00002        0.00028        0.21821        1.24596        0.34700        0.06591       -8.40733        0.48267       -0.11481          21.25415              0.0         10001.0
  17  rfgap      2.44150       22.31022        0.00311        0.75398        2.04720        1.92286        6.02440        4.77471       13.80667        0.00260           7.52486            12.71152            14.91087             7.60995            13.44307            18.89399            18.74972            57.58811            96.70548         -0.00047        0.00409        0.00002        0.00053        0.22017        1.23194        0.28752        0.06653       -8.69308        0.48501       -0.51435          20.64403              0.0         10001.0
  18  drift      2.59550       22.31054        0.00453        0.72886        2.61602        1.91801        7.61623        4.75070       13.61431        0.00245           7.52252            12.66775            14.92958             7.62910            13.67903            19.55544            19.30986            56.50800            93.17065         -0.00040        0.00425        0.00003        0.00048        0.22017        1.32472        0.01095        0.06219      -11.18401        0.78999       -0.21455          19.84409              0.0         10001.0
  19  quad       2.89450       22.31054        0.00453        1.01763        2.91294        2.79978        8.36458        4.69866       13.59555        0.00245           7.52271            12.66902            14.93107             7.59803            13.47123            18.59383            19.30967            56.50213            93.16097         -0.00038       -0.00289        0.00002       -0.00129        0.22017        1.31976       -2.34689        0.12123        6.12151        0.98351       -0.15250          19.41189              0.0         10001.0
  20  drift      3.04850       22.31054        0.00456        1.32971        2.63591        3.68019        7.50773        4.70177       13.64844        0.00245           7.52098            12.64792            14.85369             7.61311            13.62395            19.12134            19.55449            56.24027            90.78333         -0.00043       -0.00284        0.00000       -0.00133        0.22017        1.36734       -3.21173        0.20704        5.46471        0.80374        0.03839          19.19422              0.0         10001.0
  21  rfgap      3.04850       22.70841        0.03257        1.32971        2.63591        3.68019        7.50773        4.66029       13.51089        0.00266           7.51955            12.67097            14.96865             7.65587            13.99656            19.98081            19.76023            56.77367            90.91059         -0.00043       -0.00283        0.00000       -0.00118        0.22211        1.35261       -3.34646        0.20891        4.95343        0.80632       -0.42208          18.98816              0.0         10001.0
  22  drift      3.35650       22.70845        0.03278        2.00265        2.14569        5.50415        5.93955        4.60963       13.44284        0.00254           7.52087            12.64513            15.18935             7.68676            14.27606            21.00966            20.17103            56.95918            87.96785         -0.00051       -0.00286       -0.00004       -0.00126        0.22211        1.40986       -5.24405        0.47378        3.89929        0.53214       -0.07934          18.19924              0.0         10001.0
  23  rfgap      3.35650       23.10855        0.06190        2.00265        2.14569        5.50415        5.93955        4.56947       13.30959        0.00283           7.52645            12.75033            15.33413             7.72385            14.54977            21.69988            20.36676            57.28608            87.52648         -0.00051       -0.00291       -0.00004       -0.00126        0.22405        1.39509       -5.53083        0.47756        3.55911        0.53421       -0.49649          18.01846              0.0         10001.0
  24  drift      3.51050       23.10858        0.06206        2.36240        1.92820        6.46023        5.21937        4.51457       13.18475        0.00273           7.53014            12.75464            15.39485             7.73725            14.72753            22.13002            20.52473            57.61132            86.96049         -0.00056       -0.00292       -0.00006       -0.00130        0.22405        1.40654       -6.59170        0.66422        3.13005        0.43066       -0.33790          17.45273              0.0         10001.0
  25  quad       3.80950       23.10858        0.06206        2.36115        2.04735        6.39800        5.29744        4.42371       12.94399        0.00273           7.52228            12.72060            15.31680             7.76414            14.87733            22.90582            20.52478            57.61630            86.96800         -0.00049        0.00701       -0.00011       -0.00211        0.22405        1.33529        6.61742        0.66422       -5.28162        0.48384       -0.26416          16.75731              0.0         10001.0
  26  drift      3.96350       23.10856        0.06195        2.00116        2.39398        5.38194        6.16122        4.40027       12.89611        0.00269           7.52661            12.75589            15.32239             7.77179            14.97621            23.23695            20.62167            58.43599            87.28304         -0.00039        0.00702       -0.00014       -0.00214        0.22405        1.36557        5.54851        0.47684       -6.23665        0.66089       -0.12337          16.50225              0.0         10001.0
  27  rfgap      3.96350       23.51037        0.09013        2.00116        2.39398        5.38194        6.16122        4.36250       12.77058        0.00300           7.53452            12.78012            15.38846             7.81924            15.24949            23.73462            20.73166            58.33983            86.11046         -0.00039        0.00682       -0.00014       -0.00235        0.22599        1.35164        5.26122        0.48045       -6.57778        0.66255       -0.52028          16.41004              0.0         10001.0
  28  drift      4.27150       23.51032        0.08988        1.33811        3.13321        3.49475        7.98328        4.26051       12.89094        0.00281           7.54421            12.89683            15.38084             7.83548            15.40129            24.46591            20.87106            58.46071            87.05988         -0.00018        0.00673       -0.00021       -0.00232        0.22599        1.37785        3.38785        0.21454       -8.72303        1.13254       -0.23213          15.54721              0.0         10001.0
  29  rfgap      4.27150       23.91410        0.11838        1.33811        3.13321        3.49475        7.98328        4.22448       12.76675        0.00316           7.55016            12.93870            15.39405             7.91254            15.73391            24.99430            20.97367            59.53393            86.97434         -0.00018        0.00661       -0.00021       -0.00272        0.22791        1.36417        3.25159        0.21620       -9.27160        1.13105       -0.57862          15.46740              0.0         10001.0
  30  drift      4.42550       23.91405        0.11818        1.03439        3.53037        2.67166        8.95433        4.15118       12.86644        0.00303           7.55442            13.00355            15.48963             7.92065            15.86723            25.40789            21.00349            59.50638            87.44508         -0.00008        0.00654       -0.00026       -0.00275        0.22791        1.36287        2.41066        0.12912      -10.49722        1.43450       -0.42663          14.91405              0.0         10001.0
  31  quad       4.72450       23.91405        0.11818        0.75526        3.27911        2.02721        8.25374        4.02890       13.07183        0.00303           7.55648            13.01983            15.50903             7.79065            14.94966            22.32958            21.00360            59.48556            87.41449          0.00012        0.00720       -0.00028        0.00135        0.22791        1.22930       -0.02739        0.06882       16.05377        1.25823       -0.33674          14.04829              0.0         10001.0
  32  drift      4.87850       23.91360        0.11629        0.78102        2.63685        2.20750        6.59691        3.99845       13.21821        0.00291           7.55654            13.04256            15.49917             7.80087            14.98909            22.72796            20.86848            59.90706            88.03389          0.00023        0.00733       -0.00026        0.00135        0.22791        1.27472       -0.27286        0.07359       12.83146        0.81255       -0.15710          13.92636              0.0         10001.0
  33  rfgap      4.87850       24.31846        0.14161        0.78102        2.63685        2.20750        6.59691        3.96526       13.09219        0.00312           7.55598            13.04097            15.47890             7.83453            15.15376            22.87361            20.85504            59.65213            87.40238          0.00023        0.00742       -0.00026        0.00092        0.22983        1.26233       -0.32466        0.07422       12.31530        0.81586       -0.44808          13.93345              0.0         10001.0
