2.302580740769037959e-01 1.166592572859668712e-08
1.996288196267385073e-01 1.114021366085991226e-08
1.554553892059793718e-01 9.838930021170437556e-09
1.069961643735351936e-01 8.400659938933571006e-09
9.698966453103118057e-02 7.483611129375924320e-09
1.962295820811815750e-01 1.039746088215423514e-08
1.733574589369706320e-01 1.009824039197671966e-08
1.381296522834480900e-01 9.096680565767530134e-09
9.853291545928580253e-02 7.920816889932670759e-09
8.744762895014777937e-02 7.379577280114996458e-09
7.553150620741365395e-02 6.821306332692336285e-09
4.387333171583673169e-02 4.241874682598064410e-09
8.157614027249437960e-02 6.846978681045197484e-09
6.318505754636374872e-02 6.264731096017983628e-09
5.586373819472939539e-02 5.661008730395685160e-09
4.947031124733387158e-02 5.140778737441159247e-09
4.416140528146665634e-02 4.691989353674222798e-09
3.527917881769069425e-02 3.958996649183000166e-09
2.900245331305193949e-02 3.395613207024264122e-09
