S,emit_x,beta_x,alpha_x,gamma_x,emit_y,beta_y,alpha_y,gamma_y
32.6365,7.001639853979902e-05,4.378609102708594,-4.1086257420517045,4.08367247882185,7.185620439110087e-05,6.974955212643459,8.65268249515213,10.877333552534497
33.0895,7.000264514736185e-05,5.331946675226339,5.80263573096578,6.502424637397376,7.180576000563657e-05,2.9199345847574225,-0.2752315961279796,0.3684166204005987
33.2435,6.968174692370215e-05,3.7385374147315313,4.746801067761333,6.294472347440717,7.14944871926877e-05,3.024968790752384,-0.3883059900822339,0.38042757513789627
33.5515,6.940662166225529e-05,1.440150588904868,2.8054991104827653,6.159651169302524,7.120066153317062e-05,3.310468045508226,-0.5655330038121892,0.39868307449504964
34.0045,6.949732133203435e-05,0.29410128404892244,-0.14511091724122097,3.471787556468948,7.100282151720428e-05,2.2065185116299566,4.198669500925572,8.442632808116105
34.1585,6.918807341396165e-05,0.42095359281351913,-0.6826353246124021,3.4825477473905493,7.03897949642864e-05,1.1329821639564295,2.905933661568835,8.335921558074993
34.4665,6.889261113602307e-05,1.1724350915716015,-1.772282144634391,3.531951602232458,6.94392139486655e-05,0.13476734908090574,0.3569211659736808,8.365473732388972
34.9195,6.892555798706913e-05,2.178209742556471,1.3003172539946033,1.2353378595570694,6.853738041910122e-05,2.0608613268865392,-6.301838004549515,19.755410858765693
35.0735,6.860167666995306e-05,1.8151100208974105,1.078262735989968,1.1914707664692046,6.81140079474971e-05,4.495451150888189,-9.440773895799127,20.048757894698767
35.3815,6.825737283390537e-05,1.26698377413935,0.6878935545429608,1.1627595968089477,6.823147922735835e-05,12.238920554668143,-15.770322480910918,20.402376993670664
35.8345,6.825780114151082e-05,1.4893088314321445,-2.1043216479116293,3.6447575434369073,6.890918883981092e-05,18.585851897061822,15.746401804318374,13.394552542538905
35.9885,6.804682913709468e-05,2.2384347574484136,-2.706760031701773,3.7198090502801144,6.906339076348881e-05,13.981324357706528,13.331941349554935,12.784243865242317
36.2965,6.786271732997485e-05,4.299279619357367,-3.9348006572287533,3.8338181443038057,6.929871859328584e-05,6.8839917872697765,9.154408290119283,12.318897779487038
36.7495,6.789116581149141e-05,5.169951738708298,5.729970376740094,6.544076662265325,6.933003711018725e-05,2.3616296371995147,0.3934338825758038,0.4889802371078191
36.9035,6.76538488990534e-05,3.5521542468042164,4.644655184024257,6.354685131928492,6.905110728620169e-05,2.2598683696383666,0.27856042178670076,0.47684012178037866
37.2115,6.733399944358361e-05,1.2776177858658802,2.6415956875149975,6.244455786822725,6.878182214600658e-05,2.1414522631789974,0.093987840740428,0.47109792338281176
37.6645,6.722211784917424e-05,0.2668397566896401,-0.34727625422004665,4.199527126868397,6.863132475909688e-05,1.1786669932958724,2.5113966590985037,6.199472133260012
37.8185,6.69682357588599e-05,0.4787323958209788,-1.0089297181689476,4.215171552666507,6.81923159839273e-05,0.5480998665090268,1.537700806865464,6.138523245524797
38.1265,6.674891235002042e-05,1.5151825356459543,-2.3393361552901255,4.271758349358366,6.757237302673078e-05,0.18569519758794864,-0.37888682616493385,6.158238026051955
38.5795,6.679865403634066e-05,2.800784587747595,1.7391675345044835,1.4369915239754623,6.686947289817334e-05,2.567709045022787,-6.9253036035001765,19.067514715327896
38.7335,6.657234107992494e-05,2.305292218802659,1.4786428870009591,1.3822042868532742,6.6352661222573e-05,5.214894912872635,-10.005147424653957,19.387346567520176
39.0415,6.638484096487896e-05,1.5315250917911716,1.0274138200934715,1.3421779171211548,6.631463922398129e-05,13.242617095188823,-16.14513469562089,19.759340050299205
39.4945,6.638871219184146e-05,1.5144372017299559,-1.8726527246295723,2.975909613098759,6.696270691834008e-05,19.202399836225634,17.017188899080857,15.132729268495286
39.6485,6.606162831156531e-05,2.16726537213983,-2.3647006059262536,3.041532910738858,6.716527785508475e-05,14.294224119000136,14.369324286747666,14.51477734856092
39.9565,6.571145793248934e-05,3.9114300850120096,-3.3575923103474676,3.137835997512598,6.768029649245522e-05,6.822206435770634,9.718310110976315,13.99042264576724
40.4095,6.566376379454309e-05,4.525146635531178,5.171489805481699,6.131139837625265,6.80307927449342e-05,2.058267938931428,0.8542276193261904,0.8403691243996569
40.5635,6.537744151443902e-05,3.109393086404706,4.1951995476370865,5.981778027943281,6.777453941904889e-05,1.8249565760393516,0.6984597150602073,0.815277466377317
40.8715,6.510184038795515e-05,1.1180664968224452,2.3633553984934115,5.890033158406816,6.752012261347096e-05,1.4821337890804216,0.4289569578449051,0.7988510081928311
41.3245,6.510011475816887e-05,0.27870822923569355,-0.44518266154937025,4.299075077294963,6.742684648854742e-05,0.6922927652091813,1.571820907209246,5.013227262733886
41.4785,6.484184415045788e-05,0.5151363353776849,-1.1062846781886262,4.317043152400481,6.708152391751299e-05,0.3319062763442844,0.8074464228557118,4.977217496390176
41.7865,6.457913471749629e-05,1.5970830820301933,-2.446748858762654,4.37458768204788,6.654163761156435e-05,0.3020918294051102,-0.7147988722533399,5.001583229675684
42.2395,6.458502150377147e-05,2.91768454057758,1.8323819969951494,1.4935212228424475,6.571554129248157e-05,2.8294471636098932,-7.17223318459276,18.533984139597045
42.3935,6.43233066010221e-05,2.4016239916828144,1.5696107834769666,1.4422232720868946,6.506694566710429e-05,5.5063166287981025,-10.146005742352408,18.87676273104839
42.7015,6.403942758894442e-05,1.5792721341432934,1.1046450451240166,1.4058632630287327,6.448574676039132e-05,13.634995525627883,-16.222251295862627,19.373782456298404
43.1545,6.402388044891018e-05,1.5039274826672875,-1.8019722113220322,2.824008404211334,6.47820767915424e-05,19.54425668523393,17.680402101807907,16.045461514969862
43.3085,6.384181570195788e-05,2.1333985441237298,-2.2661127252126048,2.8758184448328157,6.497499301624724e-05,14.428695341905442,14.899296529015922,15.454553012282133
43.6165,6.371385484543346e-05,3.8220288072779405,-3.205780876376869,2.950535329788678,6.574036246534628e-05,6.601248401052708,9.862395604077946,14.886100489062834
44.0695,6.380380901557675e-05,4.360801020906104,5.059022983840049,6.098355192894384,6.659243351922954e-05,1.643005508122362,1.138290069654489,1.3972590300671412
44.2235,6.367980628374021e-05,2.93972556415164,4.062108947122898,5.95318464815485,6.640536804889175e-05,1.326826940524682,0.9012817289971139,1.3658968624102295
44.5315,6.359322125075934e-05,0.9868911810196332,2.1868121070152147,5.85895112104897,6.622138516659855e-05,0.90092636111497,0.46226422803363654,1.3471558485840014
